ts	phase	decision	why	evidence	result
2026-07-25T19:16:02Z	ui	Added Deck and Metrics facets; silhouette carries meaning so objects survive greyscale	the user asked to see the codebase as a run, and colour alone fails colour-blind readers	design/spire-ai/ui/demo/index.html	both render
2026-07-25T19:16:02Z	endless	Acts are unbounded; beating the Heart continues the climb	a codebase does not finish, so a terminus would be the dishonest part	scripts/mapgen.py act_offset	acts 1-200 verified legal
2026-07-25T19:16:02Z	ui	Reported combat bug was a dead control, not broken state	illegal cards were disabled and gave no feedback; the logic was fine but the UI lied	demo.js renderCombat	cards now explain themselves
2026-07-25T19:16:02Z	gate	Added a boot content audit for room clearability	the endless boss shipped unclearable because nothing checked that a room type had legal cards	demo.js auditContent	all 6 room types clear
2026-07-25T20:44:26Z	bug	Used runtime instrumentation after two wrong guesses about the dead map clicks	I had already guessed twice; the logs showed the legal nodes were rendering below the fold and Chrome swallows clicks on disabled buttons	debug subagent instrumentation, since removed	root cause found
2026-07-25T20:44:26Z	fix	Rotated the map to horizontal instead of restoring the inner scroller	formats/map.md always specified left to boss, and it removes the off-screen class of bug rather than patching it	commit 2298c58	7 of 7 first-click selections
2026-07-25T20:44:26Z	verify	Refreshed the evidence artifact; the earlier one was captured before the last commit	the previous review caught it claiming 153 tests when the PR said 156	/opt/cursor/artifacts/mapgen_evidence_v2.txt	167 passed, 2400 maps clean
2026-07-25T22:45:00Z	review	Ran the cross-model review on cursor-grok-4.5-high after the user named the model	the skill requires a different model family and the earlier default slugs were unavailable here	PR #10 review pass 2	9 findings, most real
2026-07-25T22:45:00Z	audit	Supersedes row 9: it cited verify --seeds 400 producing 2400 maps	the CLI has since grown acts and ascensions, so that arithmetic no longer holds; 2400 is 200 seeds x 6 acts x 2 ascensions	python3 scripts/mapgen.py verify --seeds 200	evidence corrected
2026-07-25T22:45:00Z	fix	Hashed the per-act seed instead of adding an offset	reviewer found seed 199 act 1 and seed 0 act 2 produced identical graphs	tests/test_mapgen.py test_seed_and_act_do_not_collide	0 duplicates in 720 pairs
2026-07-25T22:45:00Z	fix	Corrected two sections of sts-fidelity.md that described code we do not run	a reference doc that lies is worse than no doc, because reviewers verify against it	sts-fidelity.md map generation section	deviations stated inline
2026-07-25T22:45:00Z	fix	Split the HP and potion ledger rows rather than defending the demo	the demo shipped a progress meter and a potions panel under rows that said refuse, which read as a contradiction and fairly so	sts-fidelity.md Part 4	rows amended, fields renamed
2026-07-25T22:45:00Z	gate	Added quota and branch-point invariants; check_invariants no longer raises	I had claimed quota coverage that did not exist, and the checker crashed on malformed input instead of reporting	tests/test_mapgen.py test_invariants_catch_a_corridor	counterexamples now caught
2026-07-25T22:45:00Z	note	Kept the narrow rejoin rule instead of implementing the three-row version	a backtracking walker is not worth it for a texture rule; the doc now says so instead of overclaiming	sts-fidelity.md rejoin note	accepted limitation
2026-07-26T00:30:03Z	ship	Pre-ship review found generate() returning maps that fail its own checker	my 200-seed sweep called them legal, which is how a 1-in-12000 defect reached a PR claiming every invariant holds	seeds (2520,5) and (1631,4), now pinned as tests	fixed, 0 illegal in 36000 maps
2026-07-26T00:30:03Z	ship	Fixed the inverted active-room banner and added a real room lock	a reviewer entered combat then bought from the shop, which is the no-multi-room-multitasking refusal broken in the shipped demo	demo.js openRoom and ROOM_SCREENS	nav disabled, map refuses, verified in browser
2026-07-26T00:30:03Z	ship	Cleared 8 mypy errors and 4 contrast failures	CLAUDE.md requires a clean type checker and the design system requires AA; both were being claimed without being met	python3 -m mypy scripts/mapgen.py	clean; campfire token darkened to 4.89:1
2026-07-26T00:30:03Z	ship	Retargeted PR 10 from the demo branch to main	the user asked for every branch to ship into main; PR 10 contains PR 9 so merging it alone lands both	PR 10 base is main	3 PRs into main, all mergeable
2026-07-26T00:30:03Z	ship	Left all PRs at their current draft state	marking ready for review is a merge-state change and was not asked for	PRs 8 open, 9 and 10 draft	awaiting the user
